Brand,SKU,Title,Subtitle,Description,Short Desc,Manufacturer,EAN,UPC,ISBN,MPN,Country of Origin,Condition,ASIN,FNSKU,FBA SKU,FBA,Amazon Size,Barcode Label Type,Prep Type,Stock Status,Status,Publish,Warranty,Product Tags,Sales Price,Retail Price (RRP),Cost per Item,Product Margin %,Profit,Minimum Price,Maximum Price,Estimated Shipping Cost,Preferred Vendor,Vendor SKU,Colour,Size,Material,Compatibility,Height (cm),Width (cm),Depth (cm),Weight (kg),Fast Dispatch,Free Shipping,Is the product bulky?,International Note,Example Reference (optional),Ships from,Handling Time (days),China,Local 3PL,SBAU,USA,Main Image,Is Taxable
Samsung,RV-SKU-10012,Noise Cancelling Wireless Headphones1,Premium ANC Headset2,"<div class=""card product-details-card"">
    <div class=""card-body"">
        
        <h2 class=""card-title text-primary"">Ergonomic Mesh Office Chair Pro</h2>
        
        <p class=""card-text text-muted mb-4"">
            Maximize your workday comfort with our top-rated, fully adjustable mesh office chair.
        </p>
        
        <div class=""d-flex justify-content-between align-items-center mb-4 border-bottom pb-3"">
            <span class=""h3 fw-bold text-success"">$249.99</span>
            <span class=""badge bg-success"">In Stock</span>
        </div>

        <dl class=""row"">
            
            <dt class=""col-sm-4 text-secondary"">SKU:</dt>
            <dd class=""col-sm-8"">EZ-58742</dd>

            <dt class=""col-sm-4 text-secondary"">Color:</dt>
            <dd class=""col-sm-8"">Carbon Black</dd>

            <dt class=""col-sm-4 text-secondary"">Material:</dt>
            <dd class=""col-sm-8"">High-Tensile Mesh, Aluminum Base</dd>
            
            <dt class=""col-sm-4 text-secondary"">Weight Capacity:</dt>
            <dd class=""col-sm-8"">300 lbs</dd>
            
            <dt class=""col-sm-4 text-secondary"">Shipping:</dt>
            <dd class=""col-sm-8 text-info"">Free 2-Day Shipping</dd>
        </dl>
        
        <div class=""d-grid mt-4"">
            <button class=""btn btn-primary btn-lg"" type=""button"">Add to Cart</button>
        </div>

    </div>
</div>",Short headphones desc,Panasonic India,8901234567891,1234567890122,97812345678973,MPN-HEAD-10014,Australia,New,B0EXAMPLE1,FNSKU12342,FBA-SKU-103,Yes,Standard,Manufacturer,Bubble Wrap,,,,36 Months,"mobile,headphone",1.00,2.00,3.00,4.00,5.00,6.00,7.00,8.00,Kaleidoscope,VSK001,sdsdkdkdk,asdfasdf,,,,,,,Yes,Yes,Yes,Glass with care,REF0001,Nagercoil,10,,,,,,No
Antipodes,ANT001,Antipodes,Test,,,Antipodes,Antipodes,9421906730470,,ANW82,Australia,New,B0BZGSD4C8,X001B1H7LR,ANW82-UHP-FBA,Yes,Standard,Amazon Barcode,No Prep Needed,In Stock,Active,Yes,12 Months,,13.52,,7.65,-19.59,-3.29,13.52,16.28,4.27,UHP,ANW82,,,,,,,,,No,No,No,,,,2,,,,,,No
Antipodes,BA33,ANTIPODES Baptise H2O Ultra-Hydrating Water Gel MINI 15ml,,"Aqua (Water), Glycerine, Sodium Acrylates Copolymer & Lecithin, Dehydroacetic Acid, Benzyl Alcohol, Glyceryl Caprylate, Polysorbate 20, Hyaluronic Acid (Plant Based), Glycerine & Water & Terminalia Ferdinandiana (Kakadu Plum) Fruit Extract, Sodium Citrate, Lysolecithin & Sclerotium Gum & Xanthan Gum & Pullulan, Phormium Tenax (Harakeke) Flax Extract, Hibiscus Sabdariffa (Hibiscus) Flower Extract, Leptospermum Scoparium Mel (Manuka) Honey, Cyathea Medullaris (Mamaku Black Fern) Extract, Zingiber Officinale (Ginger) Root Extract, Aloe Barbadensis (Aloe Vera) Leaf Extract, Mica, Titanium Dioxide, Rose Anatolia: Citral†, Citronellol†, Eugenol†, Geraniol†, Linalool†. †Component Of Essential Oil",,Antipodes,9421906730470,9421906730470,,ANW82,Australia,New,B0BZGSD4C8,X001B1H7LR,ANW82-UHP-FBA,No,,,No Prep Needed,In Stock,Active,Yes,0 Months,,43.88,49.95,28.38,,0.04,43.88,56.85,6.32,Unique Health Products,JC10,,,,,117.0000,37.0000,28.0000,0.0260,No,No,No,,,Australia,2,,,,,,No
Botanika Blends,BR07,BOTANIKA BLENDS Keto Creamer Original 300g,,"Coconut Milk Powder, Coconut Derived MCT Oil Powder, Probiotic Culture (Bacillus Coagulans).",,Botanika Blends,9350181004054,9350181004054,,BT98,Australia,New,B09283D6XK,X001B1MEFV,BT98-UHP-FBA,No,,,No Prep Needed,In Stock,Active,Yes,0 Months,,40.59,16.95,8.49,0.02,0.46,20.65,26.86,7.02,Unique Health Products,DC333,,,,,230.0000,160.0000,70.0000,0.3140,No,No,No,,,Australia,2,,,,,,No
Bragg,BT98,BRAGG Apple Cider Vinegar Unfiltered with The Mother 3.8L,,Certified Organic Raw Apple Cider Vinegar.,,Bragg,74305011283,74305011283,,BR07,Australia,New,B000R71WMQ,X001B1H7DZ,BR07-UHP-FBA,No,,,No Prep Needed,In Stock,Active,Yes,0 Months,,55.97,64.95,40.59,0.05,2.57,55.97,79.99,4.27,Unique Health Products,BR07,,,,,300.0000,155.0000,155.0000,4.1350,No,No,No,,,Australia,2,,,,,,No
Botanika Blends,CHU01,BOTANIKA BLENDS Keto Creamer Original 300g,,"Coconut Milk Powder, Coconut Derived MCT Oil Powder, Probiotic Culture (Bacillus Coagulans).",,Botanika Blends,9350181004054,9350181004054,,BT98,Australia,New,B09283D6XK,X001B1MEFV,BT98-UHP-FBA,No,,,No Prep Needed,In Stock,Active,Yes,0 Months,,31.37,31.95,18.15,-0.01,-0.34,31.37,44.84,6.80,Unique Health Products,EQ03,,,,,230.0000,160.0000,70.0000,0.3140,No,No,No,,,Australia,2,,,,,,No
Epic,DC333,EPIC Xylitol Chewing Gum Spearmint 12x12pcs,,"Xylitol, Gum Base, Natural Flavours, Gum Arabic, Calcium Carbonate, Sunflower Lecithin, Glycerin, Carnauba Wax.",,Epic,898414001481,898414001481,,EP12,Australia,New,B005UB5NOW,X001B7V4FV,EP12-FBA,No,,,No Prep Needed,In Stock,Active,Yes,0 Months,,28.39,27.95,15.88,0.09,2.24,26.98,37.15,4.58,Unique Health Products,SFM01,,,,,9.0000,103.0000,63.0000,0.0250,No,No,No,,,Australia,2,,,,,,No
Every Bit Organic,DU04,EVERY BIT ORGANIC Rose Water 200ml,,Certified Organic Rose Hydrosol 100%.,,Every Bit Organic,9348082010731,9348082010731,,EV17,Australia,New,B08QCJT5J2,X001B7VAHN,EV17-FBA,No,,,No Prep Needed,In Stock,Active,Yes,0 Months,,55.97,64.95,40.59,0.05,2.57,55.97,79.99,4.27,Unique Health Products,BR07,,,,,140.0000,57.0000,57.0000,0.3300,No,No,No,,,Australia,2,,,,,,No
Giovanni,EP12,"GIOVANNI Conditioner 2chic Ultra Volume Fine, Limp Hair 250ml",,"Aqua (Purified Water), Cetearyl Alcohol, Stearyl Alcohol, Guar Hydroxypropyltrimonium Chloride, Xanthan Gum, Dimethicone, Glycerin, Polysorbate 60, *Aloe Barbadensis (Aloe Vera) Leaf Juice, Fragrance, Panthenol (Pro-Vitmin B-5), Polysorbate 20, Phenoxyethanol, Citric Acid, Glycol Stearate, Citrus Tangerina (Tangerine) Peel Oil, *Carica Papaya (Papaya) Fruit Extract, *Panax Ginseng Root Extract, *Citrus Grandis (Grapefruit) Fruit Extract, *Vanilla Planifolia Fruit Extract, *Saccharum Officinarum (Sugar Cane) Extract, *Prunus Amygdalus Dulcis (Sweet Almond) Fruit Extract, Annatto. *USDA Certified Organic",,Giovanni,716237184474,716237184474,,GK32,Australia,New,B00DZNN02O,X001B7V75N,GK32-FBA,No,,,No Prep Needed,In Stock,Active,Yes,0 Months,,23.82,16.95,9.63,0.02,0.57,23.82,29.99,7.02,Unique Health Products,EV17,,,,,210.0000,50.0000,50.0000,0.2800,No,No,No,,,Australia,2,,,,,,No
Giovanni,EQ03,GIOVANNI Shampoo Smooth As Silk Damaged Hair 250ml,,"Aqua (Purified Water), Sodium Lauroyl Sarcosinate, Decyl Glucoside, Cocamidopropyl Betaine, Sodium Cocoamphoacetate, Lauryl Glucoside, Sodium Cocoyl Glutamate, Sodium Lauryl Glucose Carboxylate, Pyrus Malus (Apple) Fruit Extract, *Aloe Barbadensis (Aloe Vera) Leaf Juice, *Chamomilla Recutita (Matricaria) Leaf Extract, *Citrus Aurantium Dulcis (Valencia Orange) Extract, *Citrus Grandis (Grapefruit) Fruit Extract, *Cymbopogon Schoenanthus (Lemongrass) Extract, *Echinacea Purpurea Extract, *Ginkgo Biloba Extract, *Glycine Soja (Soybean) Seed Extract, *Lavandula Angustifolia (Lavender) Extract, *Rosmarinus Officinalis (Rosemary) Leaf Extract, *Macrocystis Pyrifera (Sea Kelp) Extract, *Mangifera Indica (Mango) Extract, *Salix Alba (Willow Bark) Extract, Xanthan Gum, Glycol Distearate, Panthenol (Pro-Vitamin B5), Citric Acid, Polysorbate 20, Potassium Sorbate, Phenoxyethanol, Natural Fragrance. *USDA Certified Organic",,Giovanni,716237180537,716237180537,,GV06,Australia,New,B0011V0QH4,X001B7UK4H,GV06-FBA,No,,,No Prep Needed,In Stock,Active,Yes,0 Months,,24.61,21.95,12.47,,-0.09,24.61,30.93,6.78,Unique Health Products,NU12,,,,,190.0000,35.0000,65.0000,0.3250,No,No,No,,,Australia,2,,,,,,No
